	DMSO.REP1	DMSO.REP2	DMSO.REP3	RA.REP1	RA.REP2	RA.REP3
ENSMUSG00000033845	3312	2890	2922	2981	772	1627
ENSMUSG00000025903	1837	1789	1459	1348	409	881
ENSMUSG00000033813	706	675	607	580	132	376
ENSMUSG00000002459	8	17	15	43	13	48
ENSMUSG00000033793	1612	1467	1390	1566	417	1081
ENSMUSG00000025907	1473	1437	1253	1665	556	1167
ENSMUSG00000051285	2423	2346	1858	2779	875	1795
ENSMUSG00000025909	517	549	440	436	128	332
ENSMUSG00000061024	1039	890	850	676	160	451
ENSMUSG00000025911	99	94	86	86	23	68
ENSMUSG00000025912	501	513	409	632	222	412
ENSMUSG00000045210	1192	1092	864	1050	338	853
ENSMUSG00000025915	360	331	291	163	46	106
ENSMUSG00000046101	557	428	396	418	121	324
ENSMUSG00000099032	69	63	46	72	20	44
ENSMUSG00000025917	1604	1370	1399	1168	320	669
ENSMUSG00000056763	2209	2292	1660	2168	671	1845
ENSMUSG00000067851	2073	2098	1585	1941	684	1977
ENSMUSG00000048960	2015	2012	1615	2718	809	2350
ENSMUSG00000057715	471	519	404	282	99	283
ENSMUSG00000016918	1309	1334	1073	1450	346	1062
ENSMUSG00000025938	314	324	243	288	64	182
ENSMUSG00000042414	1268	1107	987	518	91	335
ENSMUSG00000005886	1694	1594	1318	1524	416	1527
ENSMUSG00000025935	2417	2161	2086	1968	530	1038
ENSMUSG00000025937	2257	1989	1824	1424	436	997
ENSMUSG00000025932	618	661	644	270	59	228
ENSMUSG00000025930	355	314	306	289	64	154
ENSMUSG00000032769	170	158	147	97	38	77
ENSMUSG00000025925	2467	2361	1721	2407	786	2139
ENSMUSG00000032719	116	171	105	198	77	327
ENSMUSG00000043716	5671	4912	4983	4372	1302	2508
ENSMUSG00000025921	139	125	119	142	51	125
ENSMUSG00000025920	110	114	95	130	42	130
ENSMUSG00000025939	430	386	325	339	115	295
ENSMUSG00000079658	1322	1248	1168	1095	306	620
ENSMUSG00000025940	375	296	339	326	83	176
ENSMUSG00000042686	43	53	48	71	22	50
ENSMUSG00000025776	36	36	26	19	5	10
ENSMUSG00000043760	191	185	134	226	66	233
ENSMUSG00000041872	15	15	12	22	5	22
ENSMUSG00000041859	11532	10119	9695	8723	1536	5159
ENSMUSG00000025931	474	398	391	231	66	179
ENSMUSG00000041809	31	26	16	18	6	11
ENSMUSG00000041779	209	255	185	258	77	389
ENSMUSG00000025933	62	47	39	40	7	32
ENSMUSG00000025934	564	483	531	372	81	200
ENSMUSG00000041670	423	434	336	200	67	199
ENSMUSG00000026158	157	134	134	179	69	113
ENSMUSG00000026156	81	80	64	80	39	64
ENSMUSG00000026155	441	392	364	313	111	233
ENSMUSG00000026154	126	105	109	67	17	32
ENSMUSG00000026153	529	515	429	640	185	443
ENSMUSG00000073725	287	252	198	279	90	250
ENSMUSG00000033569	13	9	6	14	8	10
ENSMUSG00000048874	7309	6856	5891	5960	1705	4180
ENSMUSG00000026064	331	358	285	447	127	386
ENSMUSG00000026134	1146	1098	952	1022	245	764
ENSMUSG00000004768	493	486	422	413	131	405
ENSMUSG00000042215	65	40	30	42	10	25
ENSMUSG00000042197	2408	2467	1838	2570	786	2024
ENSMUSG00000026131	3020	3170	2136	2313	682	2424
ENSMUSG00000042111	296	250	240	224	49	117
ENSMUSG00000026127	2132	1966	1806	2004	446	1291
ENSMUSG00000026126	27	30	25	25	8	28
ENSMUSG00000037509	226	225	206	227	51	240
ENSMUSG00000037503	2334	2126	1832	1589	332	1113
ENSMUSG00000026123	1339	1126	1120	815	175	589
ENSMUSG00000045216	2762	2450	2174	1831	459	1482
ENSMUSG00000037470	10016	9019	7990	8644	1962	5757
ENSMUSG00000037447	261	265	220	292	67	223
ENSMUSG00000010453	1073	1084	920	976	254	951
ENSMUSG00000037432	92	104	74	117	37	186
ENSMUSG00000001143	281	292	210	315	85	389
ENSMUSG00000037408	153	156	123	203	43	167
ENSMUSG00000001138	598	582	455	695	167	613
ENSMUSG00000079610	137	119	104	133	22	98
ENSMUSG00000026121	62	35	51	146	20	97
ENSMUSG00000046337	335	315	253	289	54	302
ENSMUSG00000061518	722	717	692	754	194	397
ENSMUSG00000037351	1824	1693	1537	1434	272	920
ENSMUSG00000026117	63	40	45	89	6	60
ENSMUSG00000026116	3793	4019	2970	4978	1555	5553
ENSMUSG00000050122	369	370	309	506	119	389
ENSMUSG00000026114	109	102	108	91	16	73
ENSMUSG00000026113	169	170	116	253	79	324
ENSMUSG00000026112	1349	1322	1225	1123	249	749
ENSMUSG00000026111	486	467	464	447	107	245
ENSMUSG00000026110	467	454	376	617	144	493
ENSMUSG00000060771	73	59	50	84	39	52
ENSMUSG00000037216	112	86	77	74	19	52
ENSMUSG00000026088	384	352	355	370	107	182
ENSMUSG00000026087	844	650	710	634	141	352
ENSMUSG00000058407	1352	1325	1149	1201	291	788
