	logFC	logCPM	PValue	FDR	de
ENSMUSG00000033845	-0.134357422316143	7.53525830916831	0.349736400505673	0.483611340729435	FALSE
ENSMUSG00000025903	-0.279327412952904	6.62416685395492	0.0397072312607339	0.0915725941010511	FALSE
ENSMUSG00000033813	-0.280984850709267	5.27746412306718	0.0161779303867894	0.0444860703870523	TRUE
ENSMUSG00000002459	1.98420292696056	1.03375384456134	5.47887154865828e-09	8.57274912704641e-08	TRUE
ENSMUSG00000033793	0.0793277421641789	6.61019496025084	0.474687374853735	0.604225659060659	FALSE
ENSMUSG00000025907	0.397020989777789	6.67356755252858	0.00387332012984508	0.0138535985274178	TRUE
ENSMUSG00000051285	0.407045981294881	7.34599547556848	0.00483940436777495	0.0166126279871295	TRUE
ENSMUSG00000025909	-0.113961653979088	4.9544821462737	0.43939744321296	0.570875929152605	FALSE
ENSMUSG00000061024	-0.513215662180879	5.66128826051931	6.99467808283066e-06	5.98709579451262e-05	TRUE
ENSMUSG00000025911	-0.0479678588943552	2.58281233299811	0.852038772867197	0.906123909401576	FALSE
ENSMUSG00000025912	0.53422531800124	5.1923781897259	0.000678157246712474	0.00323041756426351	TRUE
ENSMUSG00000045210	0.185137463580219	6.15095680152227	0.14515775680699	0.248774608659484	FALSE
ENSMUSG00000025915	-1.02243896683101	4.01650786486094	3.02903009469407e-11	6.24817048662268e-10	TRUE
ENSMUSG00000046101	-0.0392291082671655	4.85649717249172	0.834633569017325	0.894189812926773	FALSE
ENSMUSG00000099032	0.225640496912103	2.06506200262755	0.294927578888341	0.425109125880603	FALSE
ENSMUSG00000025917	-0.382511816021254	6.36742327227683	0.00573411631993865	0.019078539598769	TRUE
ENSMUSG00000056763	0.271263608589575	7.16591784274043	0.0461126659124502	0.102706842461939	FALSE
ENSMUSG00000067851	0.3707211347946	7.12204962806792	0.014772704362336	0.0412830375365687	TRUE
ENSMUSG00000048960	0.710684579011038	7.29500686975744	3.61796913283449e-08	4.98032664798399e-07	TRUE
ENSMUSG00000057715	-0.403520210602609	4.72107538398697	0.0149733173630272	0.0417671947072626	TRUE
ENSMUSG00000016918	0.218287380484941	6.41193279948419	0.0565100990541816	0.120567749775795	FALSE
ENSMUSG00000025938	-0.132215286861914	4.1735487270319	0.361086955449954	0.495318281974186	FALSE
ENSMUSG00000042414	-1.28217420434404	5.67509401133415	1.14133567191446e-23	6.90734337478454e-22	TRUE
ENSMUSG00000005886	0.211539873715591	6.71609322706895	0.118415209405022	0.213461244824327	FALSE
ENSMUSG00000025935	-0.273434496912231	7.01837296092264	0.0682213690757274	0.139990507325299	FALSE
ENSMUSG00000025937	-0.421262023961823	6.81932603042862	0.000972257442174188	0.00435752526251238	TRUE
ENSMUSG00000025932	-1.20994257973872	4.9174079542386	2.43461822871522e-16	8.36169630652241e-15	TRUE
ENSMUSG00000025930	-0.359359835751044	4.22877716380872	0.0182778681222123	0.0490911734629429	TRUE
ENSMUSG00000032769	-0.504268782924258	3.15806945673585	0.0170524479131631	0.0464353873996103	TRUE
ENSMUSG00000025925	0.387720662331553	7.31437622358832	0.00632285202885177	0.0206830637681268	TRUE
ENSMUSG00000032719	1.28932222759866	3.78896566979448	2.94183423105188e-06	2.75493651439609e-05	TRUE
ENSMUSG00000043716	-0.254287367183058	8.24932455742278	0.0989303255174334	0.185265105228803	FALSE
ENSMUSG00000025921	0.387790336468223	3.22737558603629	0.0259642819271973	0.0651620944676354	FALSE
ENSMUSG00000025920	0.559461531081155	3.05552480244614	0.00302261020958064	0.0112350159792259	TRUE
ENSMUSG00000025939	0.059110654471001	4.63042815050275	0.614897925241237	0.726413939028645	FALSE
ENSMUSG00000079658	-0.244981163219276	6.20139387963074	0.0852284782190851	0.165775001242219	FALSE
ENSMUSG00000025940	-0.180544655655415	4.35445626527608	0.291069796364188	0.420917564468549	FALSE
