Probe	Foldchange	P-value	Day2-RA RAR binding site within 20Kbp of TSS	Day2+RA RAR binding site within 20Kbp of TSS
Zfp703	7.985	8.41E-007		
Hoxb5	7.738	8.49E-007		TRUE
Hoxb1	7.569	6.55E-006		TRUE
Hoxb4	5.492	3.61E-005		TRUE
Cyp26a1	6.667	0.000111171	TRUE	TRUE
Hoxb2	4.07	6.90E-005		TRUE
Hoxa1	5.557	1.98E-006	TRUE	TRUE
Hoxa4	4.53	5.92E-005		TRUE
Hoxa5	4.983	5.79E-007		TRUE
Cdx1	5.436	6.65E-028	TRUE	TRUE
Hoxa3	5.173	0.001039013		TRUE
Stra8	5.4	1.07E-005	TRUE	TRUE
Hoxb6	4.701	0.001731881		TRUE
Hoxb3	3.858	0.000125622		TRUE
Meis2	4.106	4.07E-005	TRUE	TRUE
Glra2	4.335	6.47E-007		
Dhrs3	4.163	0.004373169		
Hoxc4	3.873	6.47E-007		
Tshz1	3.535	0.004358244		TRUE
Zadh2	3.827	0.002345752		TRUE
Cnnm2	3.642	0.000649467		
Cpvl	3.56	5.09E-006		
Hoxa2	3.536	0.000321083	TRUE	TRUE
Kcnh1	3.533	0.000212552		
Rarb	3.523	0.000112082	TRUE	TRUE
E130309F12Rik	3.275	0.000228566		
6330442E10Rik	3.285	0.009263349		TRUE
Nrip1	2.977	7.21E-005		
Zfp503	2.967	0.009475262		
5730446D14Rik	2.963	0.000127303	TRUE	TRUE
Hoxa10	2.908	0.000112082		
Fbp1	2.857	0.001427658		
Kit	2.178	0.003686133		
Ankrd43	2.716	5.31E-005	TRUE	TRUE
Nt5e	1.985	0.004916707		
Ednrb	2.651	2.51E-006		
Wdr40b	2.615	1.52E-006		
Nr0b1	2.566	0.000563019		
Rec8	2.558	0.002178472	TRUE	TRUE
Folr4	2.408	0.000128905		
AK220484	2.314	0.004844237	TRUE	TRUE
Fzd4	2.274	0.000321083		
Zmym3	2.271	0.000188994		
Amhr2	2.257	2.17E-005		
Ccdc88b	2.244	4.06E-008	TRUE	TRUE
Ascl1	2.21	0.002564943		
Tspyl4	2.2	0.00727743	TRUE	TRUE
Agpat3	1.628	0.001275563	TRUE	TRUE
Rbp1	2.101	0.00433861	TRUE	
A330049M08Rik	2.076	0.000469823	TRUE	TRUE
Rasl10b	1.992	0.00433861	TRUE	TRUE
C1galt1	1.95	0.000533147		
Plekha6	1.814	0.000167402		
Fndc5	1.79	0.000711323	TRUE	TRUE
3110037C07Rik	1.428	1.27E-005	TRUE	
Cphx	1.692	0.001731881		
Hcfc2	1.686	0.006171106		
Tmem132e	1.678	0.008385155		
Letmd1	1.389	0.001017317	TRUE	TRUE
Art1	1.439	0.001175643		
Cxcl12	1.424	0.003566147		
Cd14	1.422	0.00066503		TRUE
Apob48r	1.415	0.000179167		TRUE
Tmtc1	1.364	0.001232436		
Wnt8a	1.332	8.11E-007		
Tmem38b	1.328	0.00013972		
Meis1	1.293	0.001332218		
Gtsf1	1.205	0.002216022		
Btn1a1	1.201	0.003369589	TRUE	TRUE
Nlrp4f	1.179	0.000649467		
Nat1	1.169	1.58E-005		
Efnb1	1.138	0.007347157		
Akr1c19	1.135	0.001602599		
Upb1	1.127	0.000815518		
Cad	1.111	1.98E-006		
Tbxa2r	1.106	6.47E-007		
Fndc1	1.073	0.002199996		
Pbx2	1.045	0.001276976	TRUE	TRUE
Tradd	1.003	0.001135875		TRUE
Aoah	-1.064	0.00398022		
Enc1	-1.08	0.001232436		
Tmem100	-1.23	0.002609969		
Fgf4	-1.468	2.89E-005		
Cbr3	-1.377	0.003566147		
Ttyh1	-1.404	0.003194157		
Mycn	-1.67	0.002329768		
Tnfsf11	-1.738	0.008949815		
Cdc42ep5	-1.781	0.001864911		
Calcr	-1.866	0.000623112		
Mlstd1	-2.097	0.000188994		
Aadat	-2.188	0.000507853		
Eomes	-3.113	0.002113039		
Fst	-2.747	0.001944027		
Glod5	-2.94	0.001438989		
Fgf5	-3.473	5.09E-006		
Otx2	-4.389	8.61E-005		
