SAGA,TFIID group	 Gene ID	 Common Name
TFIID-dominated	YAL001C	TFC3
TFIID-dominated	YAL002W	VPS8
TFIID-dominated	YAL003W	EFB1
TFIID-dominated	YAL004W	
TFIID-dominated	YAL005C	SSA1
TFIID-dominated	YAL007C	ERP2
TFIID-dominated	YAL008W	FUN14
TFIID-dominated	YAL009W	SPO7
TFIID-dominated	YAL010C	MDM10
TFIID-dominated	YAL011W	SWC1
TFIID-dominated	YAL012W	CYS3
TFIID-dominated	YAL013W	DEP1
TFIID-dominated	YAL014C	SYN8
TFIID-dominated	YAL015C	NTG1
TFIID-dominated	YAL016W	TPD3
TFIID-dominated	YAL017W	PSK1
no call	YAL018C	
TFIID-dominated	YAL019W	FUN30
SAGA-dominated	YAL020C	ATS1
no call	YAL021C	CCR4
TFIID-dominated	YAL022C	FUN26
TFIID-dominated	YAL023C	PMT2
TFIID-dominated	YAL024C	LTE1
TFIID-dominated	YAL025C	MAK16
no call	YAL026C	DRS2
TFIID-dominated	YAL027W	
TFIID-dominated	YAL028W	
TFIID-dominated	YAL029C	MYO4
TFIID-dominated	YAL030W	SNC1
SAGA-dominated	YAL031C	FUN21
TFIID-dominated	YAL032C	PRP45
TFIID-dominated	YAL033W	POP5
no call	YAL034C	FUN19
TFIID-dominated	YAL034W-A	MTW1
no call	YAL035C-A	
TFIID-dominated	YAL035W	FUN12
TFIID-dominated	YAL036C	FUN11
SAGA-dominated	YAL037W	
SAGA-dominated	YAL038W	CDC19
TFIID-dominated	YAL039C	CYC3
SAGA-dominated	YAL040C	CLN3
TFIID-dominated	YAL041W	CDC24
TFIID-dominated	YAL042W	ERV46
TFIID-dominated	YAL043C	PTA1
TFIID-dominated	YAL043C-A	
SAGA-dominated	YAL044C	GCV3
TFIID-dominated	YAL045C	
TFIID-dominated	YAL046C	
TFIID-dominated	YAL047C	SPC72
TFIID-dominated	YAL048C	
TFIID-dominated	YAL049C	
TFIID-dominated	YAL051W	OAF1
SAGA-dominated	YAL053W	
no call	YAL054C	ACS1
TFIID-dominated	YAL055W	PEX22
TFIID-dominated	YAL056W	GPB2
TFIID-dominated	YAL058C-A	
TFIID-dominated	YAL058W	CNE1
TFIID-dominated	YAL059W	ECM1
SAGA-dominated	YAL060W	BDH1
no call	YAL061W	
SAGA-dominated	YAL062W	GDH3
TFIID-dominated	YAL063C	FLO9
no call	YAL064W	
TFIID-dominated	YAL065C	
TFIID-dominated	YAL065C-A	
no call	YAL066W	
TFIID-dominated	YAL067C	SEO1
no call	YAL068C	
no call	YAL069W	
no call	YAR002C-A	ERP1
TFIID-dominated	YAR002W	NUP60
TFIID-dominated	YAR003W	SWD1
TFIID-dominated	YAR007C	RFA1
TFIID-dominated	YAR008W	SEN34
SAGA-dominated	YAR009C	
SAGA-dominated	YAR010C	
TFIID-dominated	YAR014C	BUD14
SAGA-dominated	YAR015W	ADE1
TFIID-dominated	YAR018C	KIN3
TFIID-dominated	YAR019C	CDC15
TFIID-dominated	YAR020C	PAU7
TFIID-dominated	YAR023C	
TFIID-dominated	YAR027W	UIP3
SAGA-dominated	YAR028W	
no call	YAR029W	
TFIID-dominated	YAR030C	
no call	YAR031W	PRM9
TFIID-dominated	YAR033W	
SAGA/TFIID	YAR035W	YAT1
no call	YAR037W	
TFIID-dominated	YAR040C	
TFIID-dominated	YAR042W	SWH1
SAGA/TFIID	YAR043C	
TFIID-dominated	YAR044W	OSH1
TFIID-dominated	YAR047C	
TFIID-dominated	YAR050W	FLO1
TFIID-dominated	YAR052C	
TFIID-dominated	YAR053W	
TFIID-dominated	YAR060C	
TFIID-dominated	YAR061W	
TFIID-dominated	YAR062W	
SAGA/TFIID	YAR064W	
SAGA-dominated	YAR066W	
TFIID-dominated	YAR068W	
TFIID-dominated	YAR069C	
TFIID-dominated	YAR070C	
TFIID-dominated	YAR071W	PHO11
TFIID-dominated	YAR073W	IMD1
TFIID-dominated	YAR074C	
TFIID-dominated	YAR075W	
TFIID-dominated	YBL001C	ECM15
TFIID-dominated	YBL002W	HTB2
TFIID-dominated	YBL003C	HTA2
TFIID-dominated	YBL004W	UTP20
TFIID-dominated	YBL005W	PDR3
SAGA/TFIID	YBL005W-A	
SAGA-dominated	YBL005W-B	
TFIID-dominated	YBL006C	
TFIID-dominated	YBL007C	SLA1
TFIID-dominated	YBL008W	HIR1
TFIID-dominated	YBL009W	
no call	YBL010C	
TFIID-dominated	YBL011W	SCT1
TFIID-dominated	YBL012C	
no call	YBL013W	FMT1
TFIID-dominated	YBL014C	RRN6
TFIID-dominated	YBL015W	ACH1
TFIID-dominated	YBL016W	FUS3
TFIID-dominated	YBL017C	PEP1
TFIID-dominated	YBL018C	POP8
TFIID-dominated	YBL019W	APN2
TFIID-dominated	YBL020W	RFT1
TFIID-dominated	YBL021C	HAP3
no call	YBL022C	PIM1
TFIID-dominated	YBL023C	MCM2
TFIID-dominated	YBL024W	NCL1
TFIID-dominated	YBL025W	RRN10
no call	YBL026W	LSM2
TFIID-dominated	YBL027W	RPL19B
TFIID-dominated	YBL028C	
TFIID-dominated	YBL029W	
SAGA-dominated	YBL030C	PET9
TFIID-dominated	YBL031W	SHE1
no call	YBL032W	HEK2
TFIID-dominated	YBL033C	RIB1
no call	YBL034C	STU1
TFIID-dominated	YBL035C	POL12
TFIID-dominated	YBL036C	
TFIID-dominated	YBL037W	APL3
TFIID-dominated	YBL038W	MRPL16
TFIID-dominated	YBL039C	URA7
TFIID-dominated	YBL040C	ERD2
TFIID-dominated	YBL041W	PRE7
SAGA-dominated	YBL042C	FUI1
SAGA-dominated	YBL043W	ECM13
no call	YBL044W	
TFIID-dominated	YBL045C	COR1
TFIID-dominated	YBL046W	
TFIID-dominated	YBL047C	EDE1
TFIID-dominated	YBL048W	
TFIID-dominated	YBL049W	MOH1
TFIID-dominated	YBL050W	SEC17
TFIID-dominated	YBL051C	PIN4
TFIID-dominated	YBL052C	SAS3
TFIID-dominated	YBL053W	
TFIID-dominated	YBL054W	
TFIID-dominated	YBL055C	
TFIID-dominated	YBL056W	PTC3
TFIID-dominated	YBL057C	PTH2
TFIID-dominated	YBL058W	SHP1
TFIID-dominated	YBL059W	
TFIID-dominated	YBL060W	
TFIID-dominated	YBL061C	SKT5
SAGA/TFIID	YBL062W	
TFIID-dominated	YBL063W	KIP1
SAGA-dominated	YBL064C	
no call	YBL065W	
TFIID-dominated	YBL066C	SEF1
TFIID-dominated	YBL067C	UBP13
TFIID-dominated	YBL068W	PRS4
SAGA-dominated	YBL069W	AST1
no call	YBL070C	
TFIID-dominated	YBL071C	
TFIID-dominated	YBL072C	RPS8A
TFIID-dominated	YBL073W	
TFIID-dominated	YBL074C	AAR2
no call	YBL075C	SSA3
TFIID-dominated	YBL076C	ILS1
TFIID-dominated	YBL077W	
SAGA-dominated	YBL078C	AUT7
no call	YBL079W	NUP170
TFIID-dominated	YBL080C	PET112
TFIID-dominated	YBL081W	
TFIID-dominated	YBL082C	RHK1
TFIID-dominated	YBL083C	
no call	YBL084C	CDC27
no call	YBL085W	BOI1
TFIID-dominated	YBL086C	
TFIID-dominated	YBL087C	RPL23A
TFIID-dominated	YBL088C	TEL1
TFIID-dominated	YBL089W	
TFIID-dominated	YBL090W	MRP21
TFIID-dominated	YBL091C	MAP2
TFIID-dominated	YBL092W	RPL32
TFIID-dominated	YBL093C	ROX3
TFIID-dominated	YBL094C	
TFIID-dominated	YBL095W	
TFIID-dominated	YBL096C	
TFIID-dominated	YBL097W	BRN1
SAGA/TFIID	YBL098W	BNA4
TFIID-dominated	YBL099W	ATP1
TFIID-dominated	YBL100C	
SAGA-dominated	YBL101C	ECM21
no call	YBL101W-A	
TFIID-dominated	YBL101W-B	
TFIID-dominated	YBL102W	SFT2
TFIID-dominated	YBL103C	RTG3
no call	YBL104C	
no call	YBL105C	PKC1
TFIID-dominated	YBL106C	SRO77
no call	YBL107C	
no call	YBL108W	
no call	YBL109W	
TFIID-dominated	YBL111C	
TFIID-dominated	YBL112C	
TFIID-dominated	YBL113C	
TFIID-dominated	YBR001C	NTH2
TFIID-dominated	YBR002C	RER2
TFIID-dominated	YBR003W	COQ1
SAGA-dominated	YBR004C	
SAGA-dominated	YBR005W	
SAGA-dominated	YBR006W	UGA2
TFIID-dominated	YBR007C	
TFIID-dominated	YBR008C	FLR1
TFIID-dominated	YBR009C	HHF1
TFIID-dominated	YBR010W	HHT1
TFIID-dominated	YBR011C	IPP1
SAGA-dominated	YBR012C	
SAGA-dominated	YBR012W-A	
SAGA-dominated	YBR012W-B	
TFIID-dominated	YBR013C	
TFIID-dominated	YBR014C	
TFIID-dominated	YBR015C	MNN2
TFIID-dominated	YBR016W	
no call	YBR017C	KAP104
no call	YBR018C	GAL7
TFIID-dominated	YBR019C	GAL10
no call	YBR020W	GAL1
TFIID-dominated	YBR021W	FUR4
TFIID-dominated	YBR022W	
TFIID-dominated	YBR023C	CHS3
TFIID-dominated	YBR024W	SCO2
TFIID-dominated	YBR025C	
TFIID-dominated	YBR026C	ETR1
no call	YBR027C	
TFIID-dominated	YBR028C	
TFIID-dominated	YBR029C	CDS1
TFIID-dominated	YBR030W	
TFIID-dominated	YBR031W	RPL4A
no call	YBR032W	
TFIID-dominated	YBR033W	EDS1
TFIID-dominated	YBR034C	HMT1
TFIID-dominated	YBR035C	PDX3
TFIID-dominated	YBR036C	CSG2
TFIID-dominated	YBR037C	SCO1
TFIID-dominated	YBR038W	CHS2
TFIID-dominated	YBR039W	ATP3
no call	YBR040W	FIG1
TFIID-dominated	YBR041W	FAT1
TFIID-dominated	YBR042C	
TFIID-dominated	YBR043C	AQR2
TFIID-dominated	YBR044C	TCM62
TFIID-dominated	YBR045C	GIP1
TFIID-dominated	YBR046C	ZTA1
no call	YBR047W	
TFIID-dominated	YBR048W	RPS11B
TFIID-dominated	YBR049C	REB1
no call	YBR050C	REG2
no call	YBR051W	
TFIID-dominated	YBR052C	
TFIID-dominated	YBR053C	
SAGA-dominated	YBR054W	YRO2
TFIID-dominated	YBR055C	PRP6
TFIID-dominated	YBR056W	
TFIID-dominated	YBR057C	MUM2
TFIID-dominated	YBR058C	UBP14
TFIID-dominated	YBR059C	AKL1
TFIID-dominated	YBR060C	ORC2
TFIID-dominated	YBR061C	TRM7
TFIID-dominated	YBR062C	
TFIID-dominated	YBR063C	
TFIID-dominated	YBR064W	
TFIID-dominated	YBR065C	ECM2
TFIID-dominated	YBR066C	NRG2
TFIID-dominated	YBR067C	TIP1
SAGA-dominated	YBR068C	BAP2
